channel_id,channel_family,source_carrier_id,target_carrier_id,max_probability,min_positive_probability,mean_row_entropy_bits,A_best_success,B_best_success,joint_best_success,parity_best_success,A_minus_B_success,marginal_mean_minus_joint_success,selective_preservation_read,claim_boundary
identity_channel,identity,X2,Y2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,mixed_or_symmetric,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
total_erasure_channel,total_erasure,X2,Y_star,1.0,1.0,0.0,0.5,0.5,0.25,0.5,0.0,0.25,nontrivial_lost_or_chance,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
projection_A_channel,projection,X2,Y_A,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.25,coordinate_selective,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
projection_B_channel,projection,X2,Y_B,1.0,1.0,0.0,0.5,1.0,0.5,0.5,-0.5,0.25,coordinate_selective,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
bit_flip_p_0_00,independent_bit_flip,X2,Y2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,mixed_or_symmetric,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
bit_flip_p_0_05,independent_bit_flip,X2,Y2,0.9025,0.0025,0.5727939142319124,0.95,0.95,0.9025,0.905,0.0,0.04749999999999999,marginal_preserved_joint_degraded,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
bit_flip_p_0_10,independent_bit_flip,X2,Y2,0.81,0.01,0.9379911871785623,0.9,0.9,0.81,0.82,0.0,0.08999999999999997,mixed_or_symmetric,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
bit_flip_p_0_25,independent_bit_flip,X2,Y2,0.5625,0.0625,1.6225562489182659,0.75,0.75,0.5625,0.625,0.0,0.1875,mixed_or_symmetric,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
bit_flip_p_0_50,independent_bit_flip,X2,Y2,0.25,0.25,2.0,0.5,0.5,0.25,0.5,0.0,0.25,nontrivial_lost_or_chance,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
asym_A_preserved_B_noisy_p_0_25,asymmetric_bit_noise,X2,Y2,0.75,0.25,0.8112781244591328,1.0,0.75,0.75,0.75,0.25,0.125,coordinate_selective,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
asym_A_noisy_B_preserved_p_0_25,asymmetric_bit_noise,X2,Y2,0.75,0.25,0.8112781244591328,0.75,1.0,0.75,0.75,-0.25,0.125,coordinate_selective,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
asym_A_erased_B_preserved,asymmetric_bit_erasure,X2,Y2,0.5,0.5,1.0,0.5,1.0,0.5,0.5,-0.5,0.25,coordinate_selective,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
asym_B_erased_A_preserved,asymmetric_bit_erasure,X2,Y2,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.25,coordinate_selective,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
marginal_joint_degrade_q_0_10,marginal_preserving_joint_degrading,X2,Y2,0.9,0.05,0.5689955935892812,0.95,0.95,0.9,0.9,0.0,0.04999999999999993,marginal_preserved_joint_degraded,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
marginal_joint_degrade_q_0_20,marginal_preserving_joint_degrading,X2,Y2,0.8,0.1,0.9219280948873623,0.9,0.9,0.8,0.8,0.0,0.09999999999999998,mixed_or_symmetric,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
output_marginal_matched_uniform,output_marginal_matched_channel,X2,Y2,0.25,0.25,2.0,0.5,0.5,0.25,0.5,0.0,0.25,nontrivial_lost_or_chance,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
random_channel_same_output_entropy_seed_17,random_channel_same_output_entropy,X2,Y2,0.5,0.125,1.75,0.6875,0.625,0.5,0.6875,0.0625,0.15625,mixed_or_symmetric,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
y2_identity_channel,identity,Y2,Y2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nontrivial_lost_or_chance,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
y2_bit_flip_p_0_25,independent_bit_flip,Y2,Y2,0.5625,0.0625,1.6225562489182659,0.0,0.0,0.0,0.0,0.0,0.0,nontrivial_lost_or_chance,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
y2_marginal_joint_degrade_q_0_10,marginal_preserving_joint_degrading,Y2,Y2,0.9,0.05,0.5689955935892812,0.0,0.0,0.0,0.0,0.0,0.0,nontrivial_lost_or_chance,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_bitflip_0_10_then_0_25,composition,X2,Y2,0.49,0.09,1.7625817984613852,0.7,0.7,0.49,0.58,0.0,0.20999999999999996,mixed_or_symmetric,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,composition,X2,Y2,0.9,0.05,0.5689955935892812,0.95,0.95,0.9,0.9,0.0,0.04999999999999993,marginal_preserved_joint_degraded,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
