distinction_id,channel_id,registry_id,target_distinction_id,registered_recovery,declared_registered_recovery,existence_recovery,optimized_recovery,optimized_target_distinction_id,registered_vs_existence_gap,registered_vs_optimized_gap,theorem_transfer_class,blocked_reason,recovery_provenance_class,registry_digest,manifest_bundle_digest
D_A,a_flip_noise_9_1_channel,reg_declared_D_A_E_A,E_A,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
D_B,a_flip_noise_9_1_channel,reg_declared_D_B_E_B,E_B,1,1,1,1,E_joint,0,0,declared_registered_recovery_ready,,declared_registered,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
D_joint,a_flip_noise_9_1_channel,reg_declared_D_joint_E_joint,E_joint,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
D_parity,a_flip_noise_9_1_channel,reg_declared_D_parity_E_parity,E_parity,0,0,0,0,E_parity,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
D_trivial,a_flip_noise_9_1_channel,reg_declared_D_trivial_E_trivial,E_trivial,1,1,1,1,E_trivial,0,0,declared_registered_recovery_ready,,declared_registered,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
D_A,a_flip_noise_9_1_channel,reg_bad_declared_D_A_E_A,E_A,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
D_joint,a_flip_noise_9_1_channel,reg_empty_D_joint_E_joint,E_joint,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
D_A,a_preserved_b_erased_channel,reg_declared_D_A_E_A,E_A,1,1,1,1,E_joint,0,0,declared_registered_recovery_ready,,declared_registered,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
D_B,a_preserved_b_erased_channel,reg_declared_D_B_E_B,E_B,0,0,0,0,E_trivial,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
D_joint,a_preserved_b_erased_channel,reg_declared_D_joint_E_joint,E_joint,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
D_parity,a_preserved_b_erased_channel,reg_declared_D_parity_E_parity,E_parity,0,0,0,0,E_trivial,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
D_trivial,a_preserved_b_erased_channel,reg_declared_D_trivial_E_trivial,E_trivial,1,1,1,1,E_trivial,0,0,declared_registered_recovery_ready,,declared_registered,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
D_A,a_preserved_b_erased_channel,reg_bad_declared_D_A_E_A,E_A,0,0,1,1,E_joint,1,1,existence_capacity_only,declared_registry_did_not_recover,existence_capacity,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
D_joint,a_preserved_b_erased_channel,reg_empty_D_joint_E_joint,E_joint,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
D_A,b_flip_noise_3_1_channel,reg_declared_D_A_E_A,E_A,1,1,1,1,E_joint,0,0,declared_registered_recovery_ready,,declared_registered,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
D_B,b_flip_noise_3_1_channel,reg_declared_D_B_E_B,E_B,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
