cascade_id,distinction_id,first_decoder_id,second_decoder_id,composed_decoder_id,first_decoder_policy_id,second_decoder_policy_id,composed_decoder_policy_id,decoder_composition_declared,composed_decoder_matches_dec1_after_dec2,policy_alignment_status,recovery_provenance_class,registry_digest,cascade_evidence_status,notes
comp_bitflip_0_10_then_0_25,D_A,dec::bit_flip_p_0_10::D_A::E_A::bayes_optimal_decoder,dec::y2_bit_flip_p_0_25::E_A::E_A::bayes_optimal_decoder,composed::dec::bit_flip_p_0_10::D_A::E_A::bayes_optimal_decoder::dec::y2_bit_flip_p_0_25::E_A::E_A::bayes_optimal_decoder,fixed_declared_target_distinction,fixed_declared_target_distinction,declared_decoder_composition,1,1,aligned_declared_composition,fixed_declared_policy_no_registry,unregistered_legacy_source,path_rows_retained,composed decoder is dec1 after dec2 over declared intermediate distinction
comp_bitflip_0_10_then_0_25,D_A,,,,bayes_best_target_distinction,bayes_best_target_distinction,bayes_best_target_distinction,0,0,measurement_only_best_decoder_comparison,optimized_policy_search,unregistered_legacy_source,summary_only_blocked,Bayes-best stage rows are policy-search measurements but are not silently substituted for fixed declared composition `composed::dec::bit_flip_p_0_10::D_A::E_A::bayes_optimal_decoder::dec::y2_bit_flip_p_0_25::E_A::E_A::bayes_optimal_decoder`.
comp_bitflip_0_10_then_0_25,D_B,dec::bit_flip_p_0_10::D_B::E_B::bayes_optimal_decoder,dec::y2_bit_flip_p_0_25::E_B::E_B::bayes_optimal_decoder,composed::dec::bit_flip_p_0_10::D_B::E_B::bayes_optimal_decoder::dec::y2_bit_flip_p_0_25::E_B::E_B::bayes_optimal_decoder,fixed_declared_target_distinction,fixed_declared_target_distinction,declared_decoder_composition,1,1,aligned_declared_composition,fixed_declared_policy_no_registry,unregistered_legacy_source,path_rows_retained,composed decoder is dec1 after dec2 over declared intermediate distinction
comp_bitflip_0_10_then_0_25,D_B,,,,bayes_best_target_distinction,bayes_best_target_distinction,bayes_best_target_distinction,0,0,measurement_only_best_decoder_comparison,optimized_policy_search,unregistered_legacy_source,summary_only_blocked,Bayes-best stage rows are policy-search measurements but are not silently substituted for fixed declared composition `composed::dec::bit_flip_p_0_10::D_B::E_B::bayes_optimal_decoder::dec::y2_bit_flip_p_0_25::E_B::E_B::bayes_optimal_decoder`.
comp_bitflip_0_10_then_0_25,D_joint,dec::bit_flip_p_0_10::D_joint::E_joint::bayes_optimal_decoder,dec::y2_bit_flip_p_0_25::E_joint::E_joint::bayes_optimal_decoder,composed::dec::bit_flip_p_0_10::D_joint::E_joint::bayes_optimal_decoder::dec::y2_bit_flip_p_0_25::E_joint::E_joint::bayes_optimal_decoder,fixed_declared_target_distinction,fixed_declared_target_distinction,declared_decoder_composition,1,1,aligned_declared_composition,fixed_declared_policy_no_registry,unregistered_legacy_source,path_rows_retained,composed decoder is dec1 after dec2 over declared intermediate distinction
comp_bitflip_0_10_then_0_25,D_joint,,,,bayes_best_target_distinction,bayes_best_target_distinction,bayes_best_target_distinction,0,0,measurement_only_best_decoder_comparison,optimized_policy_search,unregistered_legacy_source,summary_only_blocked,Bayes-best stage rows are policy-search measurements but are not silently substituted for fixed declared composition `composed::dec::bit_flip_p_0_10::D_joint::E_joint::bayes_optimal_decoder::dec::y2_bit_flip_p_0_25::E_joint::E_joint::bayes_optimal_decoder`.
comp_bitflip_0_10_then_0_25,D_parity,dec::bit_flip_p_0_10::D_parity::E_parity::bayes_optimal_decoder,dec::y2_bit_flip_p_0_25::E_parity::E_parity::bayes_optimal_decoder,composed::dec::bit_flip_p_0_10::D_parity::E_parity::bayes_optimal_decoder::dec::y2_bit_flip_p_0_25::E_parity::E_parity::bayes_optimal_decoder,fixed_declared_target_distinction,fixed_declared_target_distinction,declared_decoder_composition,1,1,aligned_declared_composition,fixed_declared_policy_no_registry,unregistered_legacy_source,path_rows_retained,composed decoder is dec1 after dec2 over declared intermediate distinction
comp_bitflip_0_10_then_0_25,D_parity,,,,bayes_best_target_distinction,bayes_best_target_distinction,bayes_best_target_distinction,0,0,measurement_only_best_decoder_comparison,optimized_policy_search,unregistered_legacy_source,summary_only_blocked,Bayes-best stage rows are policy-search measurements but are not silently substituted for fixed declared composition `composed::dec::bit_flip_p_0_10::D_parity::E_parity::bayes_optimal_decoder::dec::y2_bit_flip_p_0_25::E_parity::E_parity::bayes_optimal_decoder`.
comp_bitflip_0_10_then_0_25,D_trivial,dec::bit_flip_p_0_10::D_trivial::E_trivial::bayes_optimal_decoder,dec::y2_bit_flip_p_0_25::E_trivial::E_trivial::bayes_optimal_decoder,composed::dec::bit_flip_p_0_10::D_trivial::E_trivial::bayes_optimal_decoder::dec::y2_bit_flip_p_0_25::E_trivial::E_trivial::bayes_optimal_decoder,fixed_declared_target_distinction,fixed_declared_target_distinction,declared_decoder_composition,1,1,aligned_declared_composition,fixed_declared_policy_no_registry,unregistered_legacy_source,path_rows_retained,composed decoder is dec1 after dec2 over declared intermediate distinction
comp_bitflip_0_10_then_0_25,D_trivial,,,,bayes_best_target_distinction,bayes_best_target_distinction,bayes_best_target_distinction,0,0,measurement_only_best_decoder_comparison,optimized_policy_search,unregistered_legacy_source,summary_only_blocked,Bayes-best stage rows are policy-search measurements but are not silently substituted for fixed declared composition `composed::dec::bit_flip_p_0_10::D_trivial::E_trivial::bayes_optimal_decoder::dec::y2_bit_flip_p_0_25::E_trivial::E_trivial::bayes_optimal_decoder`.
comp_identity_then_marginal_degrade_0_10,D_A,dec::identity_channel::D_A::E_A::bayes_optimal_decoder,dec::y2_marginal_joint_degrade_q_0_10::E_A::E_A::bayes_optimal_decoder,composed::dec::identity_channel::D_A::E_A::bayes_optimal_decoder::dec::y2_marginal_joint_degrade_q_0_10::E_A::E_A::bayes_optimal_decoder,fixed_declared_target_distinction,fixed_declared_target_distinction,declared_decoder_composition,1,1,aligned_declared_composition,fixed_declared_policy_no_registry,unregistered_legacy_source,path_rows_retained,composed decoder is dec1 after dec2 over declared intermediate distinction
comp_identity_then_marginal_degrade_0_10,D_A,,,,bayes_best_target_distinction,bayes_best_target_distinction,bayes_best_target_distinction,0,0,measurement_only_best_decoder_comparison,optimized_policy_search,unregistered_legacy_source,summary_only_blocked,Bayes-best stage rows are policy-search measurements but are not silently substituted for fixed declared composition `composed::dec::identity_channel::D_A::E_A::bayes_optimal_decoder::dec::y2_marginal_joint_degrade_q_0_10::E_A::E_A::bayes_optimal_decoder`.
comp_identity_then_marginal_degrade_0_10,D_B,dec::identity_channel::D_B::E_B::bayes_optimal_decoder,dec::y2_marginal_joint_degrade_q_0_10::E_B::E_B::bayes_optimal_decoder,composed::dec::identity_channel::D_B::E_B::bayes_optimal_decoder::dec::y2_marginal_joint_degrade_q_0_10::E_B::E_B::bayes_optimal_decoder,fixed_declared_target_distinction,fixed_declared_target_distinction,declared_decoder_composition,1,1,aligned_declared_composition,fixed_declared_policy_no_registry,unregistered_legacy_source,path_rows_retained,composed decoder is dec1 after dec2 over declared intermediate distinction
comp_identity_then_marginal_degrade_0_10,D_B,,,,bayes_best_target_distinction,bayes_best_target_distinction,bayes_best_target_distinction,0,0,measurement_only_best_decoder_comparison,optimized_policy_search,unregistered_legacy_source,summary_only_blocked,Bayes-best stage rows are policy-search measurements but are not silently substituted for fixed declared composition `composed::dec::identity_channel::D_B::E_B::bayes_optimal_decoder::dec::y2_marginal_joint_degrade_q_0_10::E_B::E_B::bayes_optimal_decoder`.
