channel_id,source_carrier_id,target_carrier_id,source_state,target_state,probability,probability_fraction,claim_boundary
identity_channel,X2,Y2,00,00,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
identity_channel,X2,Y2,00,01,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
identity_channel,X2,Y2,00,10,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
identity_channel,X2,Y2,00,11,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
identity_channel,X2,Y2,01,00,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
identity_channel,X2,Y2,01,01,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
identity_channel,X2,Y2,01,10,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
identity_channel,X2,Y2,01,11,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
identity_channel,X2,Y2,10,00,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
identity_channel,X2,Y2,10,01,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
identity_channel,X2,Y2,10,10,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
identity_channel,X2,Y2,10,11,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
identity_channel,X2,Y2,11,00,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
identity_channel,X2,Y2,11,01,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
identity_channel,X2,Y2,11,10,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
identity_channel,X2,Y2,11,11,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
total_erasure_channel,X2,Y_star,00,*,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
total_erasure_channel,X2,Y_star,01,*,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
total_erasure_channel,X2,Y_star,10,*,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
total_erasure_channel,X2,Y_star,11,*,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
projection_A_channel,X2,Y_A,00,0,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
projection_A_channel,X2,Y_A,00,1,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
projection_A_channel,X2,Y_A,01,0,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
projection_A_channel,X2,Y_A,01,1,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
projection_A_channel,X2,Y_A,10,0,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
projection_A_channel,X2,Y_A,10,1,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
projection_A_channel,X2,Y_A,11,0,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
projection_A_channel,X2,Y_A,11,1,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
projection_B_channel,X2,Y_B,00,0,1.0,1,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
projection_B_channel,X2,Y_B,00,1,0.0,0,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
