carrier_id,state_id,distinction_id,label,observation_scope,claim_boundary
Y2,00,E_A,0,E_A_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,01,E_A,0,E_A_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,10,E_A,1,E_A_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,11,E_A,1,E_A_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,00,E_B,0,E_B_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,01,E_B,1,E_B_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,10,E_B,0,E_B_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,11,E_B,1,E_B_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,00,E_joint,00,E_A_and_E_B_jointly_available,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,01,E_joint,01,E_A_and_E_B_jointly_available,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,10,E_joint,10,E_A_and_E_B_jointly_available,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,11,E_joint,11,E_A_and_E_B_jointly_available,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,00,E_parity,0,E_parity,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,01,E_parity,1,E_parity,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,10,E_parity,1,E_parity,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,11,E_parity,0,E_parity,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,00,E_trivial,*,trivial_target_observation,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,01,E_trivial,*,trivial_target_observation,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,10,E_trivial,*,trivial_target_observation,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,11,E_trivial,*,trivial_target_observation,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y_A,0,E_A_marg,0,E_A_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y_A,1,E_A_marg,1,E_A_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y_A,0,E_trivial_A,*,trivial_target_observation,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y_A,1,E_trivial_A,*,trivial_target_observation,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y_B,0,E_B_marg,0,E_B_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y_B,1,E_B_marg,1,E_B_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y_B,0,E_trivial_B,*,trivial_target_observation,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y_B,1,E_trivial_B,*,trivial_target_observation,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y_star,*,E_trivial_star,*,degraded_target_observation,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
