channel_id,source_distinction_id,target_distinction_id,decoder_policy_id,recovery_provenance_class,success_mass,total_mass,success_probability,success_fraction,optimized_recovery,optimized_support_exact,decoder_json,theorem_transfer_class,registry_digest,manifest_bundle_digest
a_preserved_b_erased_channel,D_A,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,8,8,1.0,1,1,1,"{""00"":""0"",""01"":""0"",""10"":""1"",""11"":""1""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,D_B,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,4,8,0.5,1/2,0,0,"{""*"":""0""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,D_joint,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,4,8,0.5,1/2,0,0,"{""00"":""00"",""01"":""00"",""10"":""10"",""11"":""10""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,D_parity,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,4,8,0.5,1/2,0,0,"{""*"":""0""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
a_preserved_b_erased_channel,D_trivial,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,8,8,1.0,1,1,1,"{""*"":""*""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
b_flip_noise_9_1_channel,D_A,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,40,40,1.0,1,1,1,"{""00"":""0"",""01"":""0"",""10"":""1"",""11"":""1""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
b_flip_noise_9_1_channel,D_B,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,36,40,0.9,9/10,0,0,"{""00"":""0"",""01"":""1"",""10"":""0"",""11"":""1""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
b_flip_noise_9_1_channel,D_joint,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,36,40,0.9,9/10,0,0,"{""00"":""00"",""01"":""01"",""10"":""10"",""11"":""11""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
b_flip_noise_9_1_channel,D_parity,E_parity,optimized_best_available_diagnostic,optimized_diagnostic,36,40,0.9,9/10,0,0,"{""0"":""0"",""1"":""1""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
b_flip_noise_9_1_channel,D_trivial,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,40,40,1.0,1,1,1,"{""*"":""*""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
collapse_to_00_channel,D_A,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,2,4,0.5,1/2,0,0,"{""*"":""0""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
collapse_to_00_channel,D_B,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,2,4,0.5,1/2,0,0,"{""*"":""0""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
collapse_to_00_channel,D_joint,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,1,4,0.25,1/4,0,0,"{""*"":""00""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
collapse_to_00_channel,D_parity,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,2,4,0.5,1/2,0,0,"{""*"":""0""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
collapse_to_00_channel,D_trivial,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,4,4,1.0,1,1,1,"{""*"":""*""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,D_A,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,4,4,1.0,1,1,1,"{""00"":""0"",""01"":""0"",""10"":""1"",""11"":""1""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,D_B,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,4,4,1.0,1,1,1,"{""00"":""0"",""01"":""1"",""10"":""0"",""11"":""1""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,D_joint,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,4,4,1.0,1,1,1,"{""00"":""00"",""01"":""01"",""10"":""10"",""11"":""11""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,D_parity,E_parity,optimized_best_available_diagnostic,optimized_diagnostic,4,4,1.0,1,1,1,"{""0"":""0"",""1"":""1""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,D_trivial,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,4,4,1.0,1,1,1,"{""*"":""*""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,D_A,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,2,4,0.5,1/2,0,0,"{""*"":""0""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,D_B,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,2,4,0.5,1/2,0,0,"{""*"":""0""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,D_joint,E_parity,optimized_best_available_diagnostic,optimized_diagnostic,2,4,0.5,1/2,0,0,"{""0"":""00"",""1"":""01""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,D_parity,E_parity,optimized_best_available_diagnostic,optimized_diagnostic,4,4,1.0,1,1,1,"{""0"":""0"",""1"":""1""}",optimized_diagnostic_only,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
