channel_id,source_distinction_id,target_distinction_id,decoder_policy_id,recovery_provenance_class,success_mass,total_mass,success_probability,success_fraction,optimized_recovery,optimized_support_exact,decoder_json,theorem_transfer_class,registry_digest,manifest_bundle_digest
a_flip_noise_9_1_channel,D_A,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,72,80,0.9,9/10,0,0,"{""000"":""0"",""001"":""0"",""010"":""0"",""011"":""0"",""100"":""1"",""101"":""1"",""110"":""1"",""111"":""1""}",optimized_diagnostic_only,04d7e4966300f0b823be24bf,963969f9025c172447f53735
a_flip_noise_9_1_channel,D_B,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,80,80,1.0,1,1,1,"{""000"":""0"",""001"":""0"",""010"":""1"",""011"":""1"",""100"":""0"",""101"":""0"",""110"":""1"",""111"":""1""}",optimized_diagnostic_only,04d7e4966300f0b823be24bf,963969f9025c172447f53735
a_flip_noise_9_1_channel,D_C,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,80,80,1.0,1,1,1,"{""000"":""0"",""001"":""1"",""010"":""0"",""011"":""1"",""100"":""0"",""101"":""1"",""110"":""0"",""111"":""1""}",optimized_diagnostic_only,04d7e4966300f0b823be24bf,963969f9025c172447f53735
a_flip_noise_9_1_channel,D_joint,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,72,80,0.9,9/10,0,0,"{""000"":""000"",""001"":""001"",""010"":""010"",""011"":""011"",""100"":""100"",""101"":""101"",""110"":""110"",""111"":""111""}",optimized_diagnostic_only,04d7e4966300f0b823be24bf,963969f9025c172447f53735
a_flip_noise_9_1_channel,D_parity,E_parity,optimized_best_available_diagnostic,optimized_diagnostic,72,80,0.9,9/10,0,0,"{""0"":""0"",""1"":""1""}",optimized_diagnostic_only,04d7e4966300f0b823be24bf,963969f9025c172447f53735
a_flip_noise_9_1_channel,D_trivial,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,80,80,1.0,1,1,1,"{""*"":""*""}",optimized_diagnostic_only,04d7e4966300f0b823be24bf,963969f9025c172447f53735
a_preserved_bc_erased_channel,D_A,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,32,32,1.0,1,1,1,"{""000"":""0"",""001"":""0"",""010"":""0"",""011"":""0"",""100"":""1"",""101"":""1"",""110"":""1"",""111"":""1""}",optimized_diagnostic_only,04d7e4966300f0b823be24bf,963969f9025c172447f53735
a_preserved_bc_erased_channel,D_B,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,16,32,0.5,1/2,0,0,"{""*"":""1""}",optimized_diagnostic_only,04d7e4966300f0b823be24bf,963969f9025c172447f53735
a_preserved_bc_erased_channel,D_C,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,16,32,0.5,1/2,0,0,"{""*"":""1""}",optimized_diagnostic_only,04d7e4966300f0b823be24bf,963969f9025c172447f53735
a_preserved_bc_erased_channel,D_joint,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,8,32,0.25,1/4,0,0,"{""000"":""011"",""001"":""011"",""010"":""011"",""011"":""011"",""100"":""111"",""101"":""111"",""110"":""111"",""111"":""111""}",optimized_diagnostic_only,04d7e4966300f0b823be24bf,963969f9025c172447f53735
a_preserved_bc_erased_channel,D_parity,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,16,32,0.5,1/2,0,0,"{""*"":""1""}",optimized_diagnostic_only,04d7e4966300f0b823be24bf,963969f9025c172447f53735
a_preserved_bc_erased_channel,D_trivial,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,32,32,1.0,1,1,1,"{""*"":""*""}",optimized_diagnostic_only,04d7e4966300f0b823be24bf,963969f9025c172447f53735
ab_preserved_c_erased_channel,D_A,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,16,16,1.0,1,1,1,"{""000"":""0"",""001"":""0"",""010"":""0"",""011"":""0"",""100"":""1"",""101"":""1"",""110"":""1"",""111"":""1""}",optimized_diagnostic_only,04d7e4966300f0b823be24bf,963969f9025c172447f53735
ab_preserved_c_erased_channel,D_B,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,16,16,1.0,1,1,1,"{""000"":""0"",""001"":""0"",""010"":""1"",""011"":""1"",""100"":""0"",""101"":""0"",""110"":""1"",""111"":""1""}",optimized_diagnostic_only,04d7e4966300f0b823be24bf,963969f9025c172447f53735
ab_preserved_c_erased_channel,D_C,E_trivial,optimized_best_available_diagnostic,optimized_diagnostic,8,16,0.5,1/2,0,0,"{""*"":""1""}",optimized_diagnostic_only,04d7e4966300f0b823be24bf,963969f9025c172447f53735
ab_preserved_c_erased_channel,D_joint,E_joint,optimized_best_available_diagnostic,optimized_diagnostic,8,16,0.5,1/2,0,0,"{""000"":""001"",""001"":""001"",""010"":""011"",""011"":""011"",""100"":""101"",""101"":""101"",""110"":""111"",""111"":""111""}",optimized_diagnostic_only,04d7e4966300f0b823be24bf,963969f9025c172447f53735
