composition_id,composed_channel_id,source_state,target_state,probability,probability_fraction,claim_boundary
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,00,00,0.49,49/100,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,00,01,0.21,21/100,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,00,10,0.21,21/100,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,00,11,0.09,9/100,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,01,00,0.21,21/100,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,01,01,0.49,49/100,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,01,10,0.09,9/100,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,01,11,0.21,21/100,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,10,00,0.21,21/100,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,10,01,0.09,9/100,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,10,10,0.49,49/100,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,10,11,0.21,21/100,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,11,00,0.09,9/100,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,11,01,0.21,21/100,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,11,10,0.21,21/100,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_bitflip_0_10_then_0_25,comp_bitflip_0_10_then_0_25,11,11,0.49,49/100,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,00,00,0.9,9/10,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,00,01,0.05,1/20,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,00,10,0.05,1/20,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,00,11,0.0,0,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,01,00,0.05,1/20,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,01,01,0.9,9/10,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,01,10,0.0,0,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,01,11,0.05,1/20,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,10,00,0.05,1/20,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,10,01,0.0,0,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,10,10,0.9,9/10,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,10,11,0.05,1/20,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,11,00,0.0,0,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,11,01,0.05,1/20,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,11,10,0.05,1/20,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
comp_identity_then_marginal_degrade_0_10,comp_identity_then_marginal_degrade_0_10,11,11,0.9,9/10,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
