decoder_id,source_distinction_id,target_distinction_id,channel_id,prior_id,decoder_kind,decoder_rule,observation_scope,claim_boundary
dec::identity_channel::D_A::E_A::bayes_optimal_decoder,D_A,E_A,identity_channel,uniform_X2,bayes_optimal_decoder,minimizes error under declared source prior,E_A_only,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_A::E_A::exact_decoder,D_A,E_A,identity_channel,uniform_X2,exact_decoder,exact support decoder exists,E_A_only,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_A::E_A::declared_decoder,D_A,E_A,identity_channel,uniform_X2,declared_decoder,fixed same-label decoder rule,E_A_only,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_A::E_B::bayes_optimal_decoder,D_A,E_B,identity_channel,uniform_X2,bayes_optimal_decoder,minimizes error under declared source prior,E_B_only,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_A::E_B::declared_decoder,D_A,E_B,identity_channel,uniform_X2,declared_decoder,fixed same-label decoder rule,E_B_only,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_A::E_joint::bayes_optimal_decoder,D_A,E_joint,identity_channel,uniform_X2,bayes_optimal_decoder,minimizes error under declared source prior,E_A_and_E_B_jointly_available,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_A::E_joint::exact_decoder,D_A,E_joint,identity_channel,uniform_X2,exact_decoder,exact support decoder exists,E_A_and_E_B_jointly_available,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_A::E_parity::bayes_optimal_decoder,D_A,E_parity,identity_channel,uniform_X2,bayes_optimal_decoder,minimizes error under declared source prior,E_parity,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_A::E_parity::declared_decoder,D_A,E_parity,identity_channel,uniform_X2,declared_decoder,fixed same-label decoder rule,E_parity,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_A::E_trivial::bayes_optimal_decoder,D_A,E_trivial,identity_channel,uniform_X2,bayes_optimal_decoder,minimizes error under declared source prior,trivial_target_observation,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_B::E_A::bayes_optimal_decoder,D_B,E_A,identity_channel,uniform_X2,bayes_optimal_decoder,minimizes error under declared source prior,E_A_only,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_B::E_A::declared_decoder,D_B,E_A,identity_channel,uniform_X2,declared_decoder,fixed same-label decoder rule,E_A_only,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_B::E_B::bayes_optimal_decoder,D_B,E_B,identity_channel,uniform_X2,bayes_optimal_decoder,minimizes error under declared source prior,E_B_only,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_B::E_B::exact_decoder,D_B,E_B,identity_channel,uniform_X2,exact_decoder,exact support decoder exists,E_B_only,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_B::E_B::declared_decoder,D_B,E_B,identity_channel,uniform_X2,declared_decoder,fixed same-label decoder rule,E_B_only,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_B::E_joint::bayes_optimal_decoder,D_B,E_joint,identity_channel,uniform_X2,bayes_optimal_decoder,minimizes error under declared source prior,E_A_and_E_B_jointly_available,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_B::E_joint::exact_decoder,D_B,E_joint,identity_channel,uniform_X2,exact_decoder,exact support decoder exists,E_A_and_E_B_jointly_available,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_B::E_parity::bayes_optimal_decoder,D_B,E_parity,identity_channel,uniform_X2,bayes_optimal_decoder,minimizes error under declared source prior,E_parity,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_B::E_parity::declared_decoder,D_B,E_parity,identity_channel,uniform_X2,declared_decoder,fixed same-label decoder rule,E_parity,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
dec::identity_channel::D_B::E_trivial::bayes_optimal_decoder,D_B,E_trivial,identity_channel,uniform_X2,bayes_optimal_decoder,minimizes error under declared source prior,trivial_target_observation,"prebiotic stochastic channel probe only; no Omega validation, no valuer detection, no agency, no identity, no compatibility detection, no ethical claim"
