distinction_id,channel_id,registry_id,target_distinction_id,registered_recovery,declared_registered_recovery,existence_recovery,optimized_recovery,optimized_target_distinction_id,registered_vs_existence_gap,registered_vs_optimized_gap,theorem_transfer_class,blocked_reason,recovery_provenance_class,registry_digest,manifest_bundle_digest
D_A,a_flip_noise_9_1_channel,reg_declared_D_A_E_A,E_A,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_B,a_flip_noise_9_1_channel,reg_declared_D_B_E_B,E_B,1,1,1,1,E_joint,0,0,declared_registered_recovery_ready,,declared_registered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_C,a_flip_noise_9_1_channel,reg_declared_D_C_E_C,E_C,1,1,1,1,E_joint,0,0,declared_registered_recovery_ready,,declared_registered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_joint,a_flip_noise_9_1_channel,reg_declared_D_joint_E_joint,E_joint,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_parity,a_flip_noise_9_1_channel,reg_declared_D_parity_E_parity,E_parity,0,0,0,0,E_parity,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_trivial,a_flip_noise_9_1_channel,reg_declared_D_trivial_E_trivial,E_trivial,1,1,1,1,E_trivial,0,0,declared_registered_recovery_ready,,declared_registered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_A,a_flip_noise_9_1_channel,reg_bad_declared_D_A_E_A,E_A,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_joint,a_flip_noise_9_1_channel,reg_empty_D_joint_E_joint,E_joint,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_A,a_preserved_bc_erased_channel,reg_declared_D_A_E_A,E_A,1,1,1,1,E_joint,0,0,declared_registered_recovery_ready,,declared_registered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_B,a_preserved_bc_erased_channel,reg_declared_D_B_E_B,E_B,0,0,0,0,E_trivial,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_C,a_preserved_bc_erased_channel,reg_declared_D_C_E_C,E_C,0,0,0,0,E_trivial,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_joint,a_preserved_bc_erased_channel,reg_declared_D_joint_E_joint,E_joint,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_parity,a_preserved_bc_erased_channel,reg_declared_D_parity_E_parity,E_parity,0,0,0,0,E_trivial,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_trivial,a_preserved_bc_erased_channel,reg_declared_D_trivial_E_trivial,E_trivial,1,1,1,1,E_trivial,0,0,declared_registered_recovery_ready,,declared_registered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_A,a_preserved_bc_erased_channel,reg_bad_declared_D_A_E_A,E_A,0,0,1,1,E_joint,1,1,existence_capacity_only,declared_registry_did_not_recover,existence_capacity,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_joint,a_preserved_bc_erased_channel,reg_empty_D_joint_E_joint,E_joint,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_A,ab_preserved_c_erased_channel,reg_declared_D_A_E_A,E_A,1,1,1,1,E_joint,0,0,declared_registered_recovery_ready,,declared_registered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_B,ab_preserved_c_erased_channel,reg_declared_D_B_E_B,E_B,1,1,1,1,E_joint,0,0,declared_registered_recovery_ready,,declared_registered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_C,ab_preserved_c_erased_channel,reg_declared_D_C_E_C,E_C,0,0,0,0,E_trivial,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_joint,ab_preserved_c_erased_channel,reg_declared_D_joint_E_joint,E_joint,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_parity,ab_preserved_c_erased_channel,reg_declared_D_parity_E_parity,E_parity,0,0,0,0,E_trivial,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_trivial,ab_preserved_c_erased_channel,reg_declared_D_trivial_E_trivial,E_trivial,1,1,1,1,E_trivial,0,0,declared_registered_recovery_ready,,declared_registered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_A,ab_preserved_c_erased_channel,reg_bad_declared_D_A_E_A,E_A,0,0,1,1,E_joint,1,1,existence_capacity_only,declared_registry_did_not_recover,existence_capacity,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_joint,ab_preserved_c_erased_channel,reg_empty_D_joint_E_joint,E_joint,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_A,b_flip_noise_3_1_channel,reg_declared_D_A_E_A,E_A,1,1,1,1,E_joint,0,0,declared_registered_recovery_ready,,declared_registered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_B,b_flip_noise_3_1_channel,reg_declared_D_B_E_B,E_B,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_C,b_flip_noise_3_1_channel,reg_declared_D_C_E_C,E_C,1,1,1,1,E_joint,0,0,declared_registered_recovery_ready,,declared_registered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_joint,b_flip_noise_3_1_channel,reg_declared_D_joint_E_joint,E_joint,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_parity,b_flip_noise_3_1_channel,reg_declared_D_parity_E_parity,E_parity,0,0,0,0,E_parity,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_trivial,b_flip_noise_3_1_channel,reg_declared_D_trivial_E_trivial,E_trivial,1,1,1,1,E_trivial,0,0,declared_registered_recovery_ready,,declared_registered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_A,b_flip_noise_3_1_channel,reg_bad_declared_D_A_E_A,E_A,0,0,1,1,E_joint,1,1,existence_capacity_only,declared_registry_did_not_recover,existence_capacity,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_joint,b_flip_noise_3_1_channel,reg_empty_D_joint_E_joint,E_joint,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_A,b_flip_noise_9_1_channel,reg_declared_D_A_E_A,E_A,1,1,1,1,E_joint,0,0,declared_registered_recovery_ready,,declared_registered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_B,b_flip_noise_9_1_channel,reg_declared_D_B_E_B,E_B,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_C,b_flip_noise_9_1_channel,reg_declared_D_C_E_C,E_C,1,1,1,1,E_joint,0,0,declared_registered_recovery_ready,,declared_registered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
D_joint,b_flip_noise_9_1_channel,reg_declared_D_joint_E_joint,E_joint,0,0,0,0,E_joint,0,0,not_recovered,no_registered_or_exact_capacity_recovery,not_recovered,04d7e4966300f0b823be24bf,963969f9025c172447f53735
