theorem_or_layer_id,formal_status,required_empirical_artifacts,artifacts_present,applicability_status,claim_allowed,claim_blocked,notes
support_level_exact_channel_presentation,lean_checked,channel_support.csv;support_recoverability.csv;support_probability_theorem_boundary.csv,1,ready_for_formal_consumption,exact support-recoverability rows,probabilistic threshold claims without probabilistic theorem layer,support-level rows remain separated from probabilistic measurements
exact_implies_perfect_probability,lean_checked,support_probability_theorem_boundary.csv,1,ready_for_formal_consumption,exact rows imply perfect probability in the finite channel presentation,converse claims without assumptions,302 exact-and-perfect rows emitted
perfect_full_prior_implies_exact,lean_checked,support_probability_theorem_boundary.csv;source_prior_manifest.csv,1,ready_for_formal_consumption,classification of full-support perfect-probability rows,non-full-support converse,current uniform priors have full support
perfect_nonfull_prior_not_exact_counterexample,lean_checked,support_probability_theorem_boundary.csv,1,ready_for_measurement_only,boundary category is available if future non-full priors are emitted,automatic support recovery from non-full-prior perfect probability,"no non-full prior appears in this tiny input, but the boundary slot is explicit"
high_probability_not_exact_counterexample,lean_checked,support_probability_theorem_boundary.csv,1,ready_for_formal_consumption,high probability without exact support rows,support-level theorem transfer from high probability alone,24 high-probability non-exact rows emitted
cascade_error_bound,lean_checked,cascade_path_ensemble_rows.csv;cascade_error_mass_by_stage.csv;cascade_bound_check.csv,1,ready_for_formal_consumption,finite cascade error bound over same path ensemble,bounds using independently normalized stage errors,same-path-ensemble denominator is explicit
cascade_same_denominator_threshold_bound,lean_checked,denominator_alignment_audit.csv;cascade_bound_check.csv,1,ready_for_formal_consumption,same-denominator threshold-bound instantiation,threshold-bound claims with denominator mismatch,all fixed cascade rows use identical path denominator
bayes_best_vs_fixed_declared_policy_separation,lean_checked,declared_target_policy_summary.csv;decoder_policy_alignment_audit.csv,1,ready_for_formal_consumption,fixed and Bayes-best policy separation,silent substitution of Bayes-best for fixed declared policy,Bayes-best cascade rows are marked measurement-only for composition
thresholded_non_erasure_layer,measurement_only_pending_formal_theorem,non_erasure_by_channel.csv;threshold_sensitivity_by_distinction.csv,1,ready_for_measurement_only,finite thresholded recovery counts,root DistTrans witness claims from thresholds alone,threshold sensitivity emitted
completion_or_candidate_family,not_applicable,candidate_family_manifest.csv;admissibility_predicate_manifest.csv,0,not_applicable,none,completion/candidate-family claims,this audit only covers finite channels and distinctions
