distinction_id,carrier_id,label_set,labeling_rule,observation_scope,claim_boundary
D_A,X2,0;1,first bit A,source_declared,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
D_B,X2,0;1,second bit B,source_declared,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
D_joint,X2,00;01;10;11,"ordered pair (A,B)",source_declared,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
D_parity,X2,0;1,A xor B,source_declared,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
D_trivial,X2,*,constant distinction,source_declared,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
E_A,Y2,0;1,first bit A,E_A_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
E_B,Y2,0;1,second bit B,E_B_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
E_joint,Y2,00;01;10;11,"ordered pair (A,B)",E_A_and_E_B_jointly_available,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
E_parity,Y2,0;1,A xor B,E_parity,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
E_trivial,Y2,*,constant distinction,trivial_target_observation,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
E_A_marg,Y_A,0;1,single A bit,E_A_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
E_trivial_A,Y_A,*,constant distinction,trivial_target_observation,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
E_B_marg,Y_B,0;1,single B bit,E_B_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
E_trivial_B,Y_B,*,constant distinction,trivial_target_observation,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
E_trivial_star,Y_star,*,constant erased target,degraded_target_observation,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
